isin,ticker,name
GB00BNGFHX14,OFG,Octopus Future Generations VCT PLC
GB00BJM02935,ORIT,Octopus Renewables Infrastructure Trust PLC
GB00B28V9347,OTV2,Octopus Titan VCT PLC
GB00BFFK7H57,OIT,Odyssean Investment Trust PLC
GG00BMZR1514,ONWD,Onward Opportunities Ltd
GG00B3BTVQ94,OIG,Oryx International Growth Fund Ltd
GB00BN73FM99,OT1,Oxford Technology 2 Venture Capital Trust PLC OT1
GB0003105052,OXH,Oxford Technology 2 Venture Capital Trust PLC OT2
GB00BN73FN07,OT3,Oxford Technology 2 Venture Capital Trust PLC OT3
GB00BN73FP21,OT4,Oxford Technology 2 Venture Capital Trust PLC OT4
GB0006674385,PAC,Pacific Assets Trust PLC
GB0006667470,PHI,Pacific Horizon Investment Trust PLC
GB00BF5SGF06,PCA,Palace Capital PLC
GB00BLNNFL88,PINT,Pantheon Infrastructure PLC
GB00BP37WF17,PIN,Pantheon International PLC
GG00B28C2R28,PEYS,Partners Group Private Equity Ltd
GB00BN6JYS78,AEET,Parvus Energy Efficiency Trust PLC
GB0030474687,PPET,Patria Private Equity Trust PLC
GB00BQVC9S79,PEMB,Pembroke VCT PLC B
GG00BPFJTF46,PSH,Pershing Square Holdings Ltd
GB00BM8B5H06,PNL,Personal Assets Trust PLC
JE00B248KJ21,PSDL,Phoenix Spree Deutschland Ltd
GB00B0LCW208,PCTN,Picton Property Income Ltd
GB00B9XQT119,PCFT,Polar Capital Global Financials Trust PLC
GB00B6832P16,PCGH,Polar Capital Global Healthcare Trust PLC
GB00BR3YV268,PCT,Polar Capital Technology Trust PLC
GB00BL690L89,PGV,Praetura Growth Vct PLC
GB00BYRJ5J14,PHP,Primary Health Properties PLC
GB00B5B7YS03,PGOO,ProVen Growth & Income VCT PLC
GB00B8GH9P84,PVN,ProVen VCT PLC
GB00BRC89928,PAIM,Puma Aim VCT PLC
GB00BGMG7F10,PUAL,Puma Alpha Vct PLC
GB00BD5B1L68,PU13,Puma VCT 13 PLC
GB00B0HW5366,RECI,Real Estate Credit Investment PCC Ltd
GB00B45XLP34,RLE,Real Estate Investors PLC
GG00BSY2LD72,RGL,Regional REIT Ltd
GB00BYSX1508,RESI,Residential Secure Income PLC
GB0007392078,RIII,Rights and Issues Inv Trust PLC
GB0007366395,RCP,RIT Capital Partners PLC
GG00BNDMJP11,RMMC,River And Mercantile UK Micro Cap Investment Co Ltd
GG00BWZ6KH33,RSE,Riverstone Energy Ltd
GB00BYMTBG55,RMII,RM Infrastructure Income PLC
GB00BRRD5L66,RKW,Rockwood Strategic PLC
GB00B018CS46,RICA,Ruffer Investment Company Ltd
GB00B1N7Z094,SAFE,Safestore Holdings PLC
GB00B0CL3P62,LEND,Sancus Lending Group Ltd
GB0008710799,ATR,Schroder Asian Total Return Investment Company PLC
GB0007918872,SDP,Schroder AsiaPacific Fund PLC
GB00BN7JZR28,SBO,Schroder British Opportunities Trust PLC
GB00BF781319,SBSI,Schroder Bsc Social Impact Trust PLC
GB00BY7R8K77,SERE,Schroder European Real Estate Investment Trust Ltd
GB0007915860,SCF,Schroder Income Growth Fund PLC
GB0008022849,SJG,Schroder Japan Growth Fund PLC
GB00B0CRWN59,SOI,Schroder Oriental Income Fund Ltd
GB00B01HM147,SREI,Schroder Real Estate Investment Trust Ltd
GB0006108418,SCP,Schroder UK Mid Cap Fund PLC
GB00BVG1CF25,INOV,Schroders Capital Global Innovation Trust PLC
GB0007873697,SAIN,Scottish American Investment Co (The) PLC
GB00BLDYK618,SMT,Scottish Mortgage Investment Trust PLC
GB00BRBL6574,SST,Scottish Oriental Smaller Companies Trust PLC
GB00BGHVZM47,SEIT,SDCL Energy Efficiency Income Trust PLC
